iter	Passed	Remaining
0	3	349
1	6	330
2	9	304
3	12	291
4	15	298
5	19	298
6	22	292
7	24	286
8	27	275
9	30	273
10	34	282
11	38	283
12	41	276
13	44	272
14	52	299
15	56	296
16	58	287
17	62	282
18	65	278
19	68	273
20	71	267
21	74	264
22	77	260
23	80	256
24	83	251
25	86	246
26	89	241
27	92	237
28	95	233
29	98	229
30	101	226
31	104	223
32	107	218
33	111	215
34	114	212
35	117	209
36	121	206
37	124	203
38	128	200
39	132	198
40	137	197
41	139	193
42	143	190
43	147	187
44	150	184
45	154	181
46	157	177
47	160	173
48	163	169
49	166	166
50	169	162
51	172	159
52	176	156
53	179	152
54	181	148
55	184	145
56	187	141
57	191	138
58	194	134
59	197	131
60	200	128
61	203	124
62	206	121
63	210	118
64	213	114
65	216	111
66	219	107
67	222	104
68	225	101
69	228	97
70	231	94
71	234	91
72	237	87
73	240	84
74	243	81
75	246	77
76	249	74
77	253	71
78	256	68
79	259	64
80	262	61
81	265	58
82	269	55
83	273	52
84	276	48
85	279	45
86	283	42
87	286	39
88	290	35
89	293	32
90	296	29
91	299	26
92	302	22
93	305	19
94	308	16
95	312	13
96	315	9
97	318	6
98	321	3
99	324	0
